0.000000000000000000e+00,7.130633200228179459e-03,6.844626967830252928e-02,2.475247524752475226e-01,6.097560975609755962e-01,1.215066828675577248e+00,2.132196162046908317e+00,3.424657534246575707e+00
1.694915254237288238e+01,1.694915254237288238e+01,1.724137931034482563e+01,1.754385964912280471e+01,1.818181818181818343e+01,1.923076923076922995e+01,2.040816326530612201e+01,2.222222222222222143e+01
3.125000000000000000e+01,3.125000000000000000e+01,3.225806451612903203e+01,3.225806451612903203e+01,3.333333333333333570e+01,3.448275862068965125e+01,3.703703703703703809e+01,3.846153846153845990e+01
4.347826086956521863e+01,4.347826086956521863e+01,4.347826086956521863e+01,4.545454545454546036e+01,4.545454545454546036e+01,4.761904761904761330e+01,5.000000000000000000e+01,5.263157894736842479e+01
5.263157894736842479e+01,5.263157894736842479e+01,5.555555555555555713e+01,5.555555555555555713e+01,5.555555555555555713e+01,5.882352941176470296e+01,6.250000000000000000e+01,6.666666666666667140e+01
6.250000000000000000e+01,6.250000000000000000e+01,6.250000000000000000e+01,6.250000000000000000e+01,6.666666666666667140e+01,6.666666666666667140e+01,7.142857142857143060e+01,7.692307692307691980e+01
6.666666666666667140e+01,6.666666666666667140e+01,7.142857142857143060e+01,7.142857142857143060e+01,7.142857142857143060e+01,7.692307692307691980e+01,7.692307692307691980e+01,8.333333333333332860e+01
7.142857142857143060e+01,7.142857142857143060e+01,7.692307692307691980e+01,7.692307692307691980e+01,7.692307692307691980e+01,8.333333333333332860e+01,8.333333333333332860e+01,9.090909090909092072e+01
7.692307692307691980e+01,7.692307692307691980e+01,7.692307692307691980e+01,7.692307692307691980e+01,8.333333333333332860e+01,8.333333333333332860e+01,9.090909090909092072e+01,1.000000000000000000e+02
7.692307692307691980e+01,7.692307692307691980e+01,7.692307692307691980e+01,8.333333333333332860e+01,8.333333333333332860e+01,9.090909090909092072e+01,9.090909090909092072e+01,1.000000000000000000e+02
7.692307692307691980e+01,7.692307692307691980e+01,7.692307692307691980e+01,8.333333333333332860e+01,8.333333333333332860e+01,9.090909090909092072e+01,9.090909090909092072e+01,1.000000000000000000e+02
