0.000000000000000000e+00,1.174511877130535798e-16,6.189950289800255238e-30,1.229034498109583133e-43,1.662300944775499819e-57,1.818702759744213325e-71,1.752252868314540096e-85,1.545236051820279870e-99
0.000000000000000000e+00,2.791755010996378769e-13,1.559227133344512464e-27,8.711051530460903059e-42,4.956679180785127761e-56,2.878446867825937261e-70,1.677156316815345173e-84,1.002686504736714788e-98
0.000000000000000000e+00,5.147298301524573151e-13,2.917263668838120787e-27,1.601709474955715013e-41,9.087245164772733021e-56,5.161353004377542342e-70,3.043728130516737952e-84,1.735418950505852555e-98
0.000000000000000000e+00,7.161458506468971033e-13,3.931964075390510314e-27,2.256954260164870946e-41,1.239169795196281940e-55,7.127582720330890734e-70,4.109032976197595801e-84,2.374783827008008776e-98
0.000000000000000000e+00,8.669133981515070304e-13,5.024176318554541236e-27,2.758499651312620385e-41,1.514540860795455745e-55,8.804661007467573404e-70,5.136291220246994751e-84,3.008059514210144688e-98
0.000000000000000000e+00,1.029459660304914630e-12,5.652198358373858532e-27,3.103312107726697424e-41,1.817449032954546604e-55,9.978615808463248829e-70,5.870047108853708679e-84,3.470837901011705110e-98
0.000000000000000000e+00,1.098090304325242191e-12,6.459655266712980872e-27,3.546642408830511268e-41,1.947266821022728349e-55,1.151378747130374904e-69,6.321589194150147315e-84,3.760074392762681023e-98
0.000000000000000000e+00,1.176525326062759433e-12,6.956551825690903471e-27,3.819461055663627520e-41,2.097056576486015285e-55,1.247326976057906136e-69,6.848388293662660277e-84,4.101899337559288566e-98
0.000000000000000000e+00,1.267027274221433360e-12,6.956551825690903471e-27,3.819461055663627520e-41,2.271811291193183436e-55,1.247326976057906136e-69,7.470969047631993445e-84,4.512089271315216708e-98
0.000000000000000000e+00,1.267027274221433360e-12,6.956551825690903471e-27,4.137749476968930068e-41,2.271811291193183436e-55,1.360720337517715995e-69,7.470969047631993445e-84,4.512089271315216708e-98
0.000000000000000000e+00,1.267027274221433360e-12,6.956551825690903471e-27,4.137749476968930068e-41,2.271811291193183436e-55,1.360720337517715995e-69,7.470969047631993445e-84,4.512089271315216708e-98
